Round,Start,End, Duration (minutes), ICO, Key Count, Pot (ETH), Team, Player, Average Duration, Average Pot
48,Sat Aug 04 2018 19:32:54 GMT+0200,Sat Aug 04 2018 21:28:08 GMT+0200,115.23,3.9719,451.92,3.5624,Bear,quickiebot,0xC00eDFa98C782c580B335E414Cd62597670a5E5c,232.52,113.81
49,Sat Aug 04 2018 21:29:08 GMT+0200,Sun Aug 05 2018 01:17:56 GMT+0200,228.80,0.6616,604.27,5.8792,Snek,team just,0x399517C643e1425Ff0372e53b4A1DD31B2C7a9F0,232.44,111.61
50,Sun Aug 05 2018 01:18:30 GMT+0200,Sun Aug 05 2018 02:32:10 GMT+0200,73.67,5.5320,374.60,2.8068,Snek,,0xe04660439AC7A7c19C2Fa548D57865993936Ab31,229.27,109.43
51,Sun Aug 05 2018 02:34:04 GMT+0200,Sun Aug 05 2018 05:26:55 GMT+0200,172.85,6.0342,522.28,3.7867,Bear,lordfomo,0x1357981B1FbE7DB827382020E04E064Aa26ca534,228.16,107.36
52,Sun Aug 05 2018 05:27:28 GMT+0200,Sun Aug 05 2018 05:42:05 GMT+0200,14.62,5.6000,340.14,2.5115,Snek,rolex23,0xDa020BE6aFbf83BF26692f9906Fd7F6Bd2FC48d0,224.06,105.34
53,Sun Aug 05 2018 05:43:20 GMT+0200,Sun Aug 05 2018 06:06:36 GMT+0200,23.27,3.3501,286.84,1.3283,Snek,rolex23,0xDa020BE6aFbf83BF26692f9906Fd7F6Bd2FC48d0,220.27,103.38
54,Sun Aug 05 2018 06:07:56 GMT+0200,Sun Aug 05 2018 08:22:32 GMT+0200,134.60,0.0001,322.59,1.5110,Bear,rolex23,0xDa020BE6aFbf83BF26692f9906Fd7F6Bd2FC48d0,218.68,101.50
55,Sun Aug 05 2018 08:23:07 GMT+0200,Sun Aug 05 2018 09:08:11 GMT+0200,45.07,8.4703,447.56,2.7498,Bear,lordfomo,0x1357981B1FbE7DB827382020E04E064Aa26ca534,215.52,99.70
56,Sun Aug 05 2018 09:08:22 GMT+0200,Sun Aug 05 2018 16:59:19 GMT+0200,470.95,7.8404,731.17,9.5659,Whale,inventor,0x18E90Fc6F70344f53EBd4f6070bf6Aa23e2D748C,220.09,98.09
57,Sun Aug 05 2018 16:59:23 GMT+0200,Sun Aug 05 2018 17:15:39 GMT+0200,16.27,12.3781,529.60,6.0487,Bear,,0xeb711b931879F3D5Cb8E4Db32c50DbeD202b350f,216.51,96.48
